"year","id","wage","hours","emp","treat","female","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc"
2005,1,1081.5,40,1,0,1,105,42,12,9,16,37,1,0,1,1,3,4,NA,NA
2005,2,0,0,0,0,0,85,32,14,9,9,28,1,1,1,1,5,1,7,NA
2005,3,773.25,40,1,0,1,112,24,14,9,5,29,1,0,0,1,4,2,12,12
2005,4,999.75,45,1,0,1,103,30,16,7,1,34,1,0,0,1,3,1,NA,NA
2005,5,375,40,1,0,1,69,18,9,21,13,38,1,1,1,1,8,6,6,NA
2005,6,909,40,1,0,1,95,36,12,6,16,38,1,0,1,0,3,1,12,8
2005,7,86.25,50,1,0,1,108,46,12,9,3,29,1,0,0,1,5,6,10,11
2005,8,1141.5,46,1,0,1,102,37,12,15,16,37,1,0,0,0,3,2,12,10
2005,9,1000,40,1,0,0,89,40,12,17,8,38,1,0,1,1,7,7,1,4
2005,10,937.5,46,1,0,1,110,37,12,5,16,38,1,0,0,0,1,1,NA,12
2005,11,1000,40,1,0,0,112,47,14,15,4,35,1,0,0,1,4,1,12,10
2005,12,718.5,50,1,0,1,105,37,10,17,2,35,1,0,0,1,1,2,6,8
2005,13,0,0,0,0,1,108,46,14,11,9,33,1,0,0,1,1,2,14,14
2005,14,1155,40,1,0,0,117,25,13,9,1,28,1,0,0,1,3,2,12,12
2005,15,606,45,1,0,0,100,39,18,6,5,30,0,0,0,0,1,NA,12,12
2005,16,525,38,1,0,1,85,36,12,13,8,32,1,1,1,1,6,NA,2,8
2005,17,439.5,60,1,0,1,111,37,18,6,10,34,1,0,0,0,3,1,12,11
2005,18,1031.25,40,1,0,1,103,34,12,12,7,29,1,0,0,1,4,2,12,10
2005,19,673.5,40,1,0,1,101,41,16,7,9,35,0,0,0,1,3,4,16,14
2005,20,0,0,0,0,1,117,40,17,8,5,29,1,0,0,0,3,3,12,NA
2005,21,576.75,55,1,0,1,120,49,18,8,12,32,0,0,0,1,1,1,11,8
2005,22,850,40,1,0,0,72,36,11,19,10,38,1,0,0,1,2,3,10,8
2005,23,300,40,1,0,1,88,34,12,14,1,32,1,1,1,1,7,7,7,6
2005,24,649.5,40,1,0,1,85,26,12,11,12,30,1,1,1,0,8,5,6,0
2005,25,747,50,1,0,1,114,41,12,5,14,31,1,0,0,1,2,1,12,10
2005,26,0,0,0,0,0,86,22,11,7,0,33,1,1,0,1,5,2,11,NA
2005,27,655.5,55,1,0,1,132,37,13,8,2,33,1,0,0,0,2,1,13,16
2005,28,0,0,0,0,1,97,29,12,11,11,31,1,0,0,0,3,1,12,11
2005,29,612.75,40,1,0,1,95,37,12,16,14,33,1,0,0,0,2,1,12,12
2005,30,1417,38,1,0,0,88,36,16,9,10,32,0,0,0,1,2,1,12,12
2005,31,808,40,1,0,0,106,34,12,4,3,29,1,0,0,1,1,2,8,7
2005,32,825,40,1,0,1,105,45,12,22,14,38,1,0,0,1,1,1,12,12
2005,33,1083,40,1,0,1,120,50,16,12,15,37,1,0,0,1,1,2,17,13
2005,34,675,55,1,0,1,100,27,12,18,5,34,0,0,0,1,2,2,8,NA
2005,35,1122,60,1,0,0,102,54,17,7,13,32,1,0,1,1,2,2,12,11
2005,36,950,44,1,0,0,96,26,16,8,10,32,1,1,1,1,1,2,10,NA
2005,37,1346,40,1,0,0,90,44,16,9,16,38,1,0,0,1,1,1,12,12
2005,38,1001,48,1,0,0,137,36,13,11,11,33,1,0,0,0,5,6,12,NA
2005,39,1058,40,1,0,0,89,28,12,7,3,29,1,0,0,1,2,NA,8,6
2005,40,0,0,0,0,0,114,50,18,8,14,38,1,0,0,1,2,3,8,NA
2005,41,369,60,1,0,1,67,38,12,15,2,34,1,1,1,0,3,NA,8,NA
2005,42,525,40,1,0,1,74,29,12,16,4,36,1,1,1,1,3,NA,9,NA
2005,43,549,40,1,0,1,73,28,10,17,5,36,1,0,0,1,5,6,NA,NA
2005,44,962,40,1,0,0,97,42,12,15,4,34,1,0,1,0,5,1,10,8
2005,45,923,50,1,0,0,107,30,16,9,8,33,1,0,0,1,6,4,9,8
2005,46,0,0,0,0,0,102,32,14,8,7,29,1,0,1,0,1,1,16,16
2005,47,737,48,1,0,0,103,37,12,7,4,30,1,0,0,1,4,4,10,NA
2005,48,1455,40,1,0,0,109,44,16,8,13,36,1,0,0,1,1,2,8,8
2005,49,793.5,40,1,0,1,120,44,16,16,13,37,1,0,0,0,5,4,12,4
2005,50,590,40,1,0,0,109,27,13,10,7,29,1,0,0,0,2,2,12,12
2005,51,881,40,1,0,0,90,41,12,4,14,36,1,0,0,0,2,3,12,NA
2005,52,0,0,0,0,0,91,40,12,11,4,32,1,0,1,0,0,1,6,8
2005,53,1322,40,1,0,0,128,43,16,7,1,33,1,0,1,1,0,1,18,NA
2005,54,866.25,60,1,0,1,106,46,18,10,2,37,1,0,0,1,3,3,14,18
2005,55,729,47,1,0,0,122,40,18,6,13,34,1,0,0,1,3,3,8,6
2005,56,506.25,40,1,0,1,105,27,15,8,2,31,1,0,0,0,3,NA,14,12
2005,57,692,50,1,0,0,92,49,15,9,3,38,1,1,0,1,0,1,8,8
2005,58,727,55,1,0,0,106,40,15,10,5,31,0,0,0,1,1,NA,12,12
2005,59,793,40,1,0,0,96,43,12,17,18,36,1,0,0,0,4,5,8,8
2005,60,262.5,40,1,0,1,93,41,12,16,0,33,0,1,1,1,1,1,12,NA
2005,61,375,45,1,0,1,115,43,12,14,1,32,1,0,0,1,1,2,12,11
2005,62,0,0,0,0,1,103,30,15,14,2,32,1,0,1,0,0,1,11,5
2005,63,238.5,40,1,0,1,67,35,12,16,5,36,1,1,1,1,6,NA,7,5
2005,64,873,44,1,0,0,109,25,12,12,12,28,1,0,1,0,1,1,NA,11
2005,65,866,40,1,0,0,121,30,16,7,4,28,1,0,0,0,1,NA,12,12
2005,66,1081,40,1,0,0,114,50,18,8,14,38,1,0,0,1,2,3,8,NA
2005,67,892.5,40,1,0,1,119,38,17,4,2,34,1,0,0,1,0,1,12,14
2005,68,721.5,50,1,0,1,124,43,16,7,14,34,1,0,0,1,2,2,9,11
2005,69,0,0,0,0,0,117,45,16,10,7,33,1,0,0,1,1,1,12,14
2005,70,802.5,40,1,0,1,124,41,13,4,9,32,1,0,0,1,0,1,NA,NA
2005,71,1710,45,1,0,0,114,39,18,7,6,32,1,0,0,1,1,1,12,NA
2005,72,324.75,50,1,0,1,100,40,12,5,9,37,1,0,0,0,2,2,8,7
2005,73,575,40,1,0,0,96,31,11,17,1,35,1,0,1,1,2,1,12,7
2005,74,577,40,1,0,0,106,43,17,11,7,33,0,1,1,1,3,2,13,16
2005,75,1730,50,1,0,0,117,41,18,12,12,37,1,0,0,1,1,2,12,8
2005,76,417,48,1,0,0,131,39,12,7,1,28,0,0,0,1,1,2,12,6
2005,77,663,40,1,0,1,106,42,10,19,12,34,1,0,0,1,2,1,7,10
2005,78,1001,34,1,0,0,77,22,12,12,3,29,1,1,1,1,9,8,3,4
2005,79,955.5,40,1,0,1,106,35,13,11,12,31,1,0,0,1,0,1,15,12
2005,80,480,40,1,0,0,83,37,12,9,3,37,1,0,1,1,4,3,10,11
2005,81,1009.5,40,1,0,1,106,38,16,15,11,37,1,0,0,1,1,1,8,14
2005,82,751,40,1,0,0,104,32,12,15,4,34,1,0,1,1,4,3,8,3
